Summary Nr,Event Date,SIC,&nbsp;,Fat,Event Description,Report ID
171061146,06/28/2001,1711,8457,&nbsp;,Employee Injured In Fall From Ceiling To Floor,0854910
200920742,12/20/2001,7211,9722,X,Employee Killed When Crushed By Machinery,0355111
170868608,03/01/2002,1422,81,&nbsp;,Employee Injured When Caught By Conveyor Tail Pulley,0950651
200925998,08/21/2010,1542,14,X,Employee Is Killed When Trench Collapses,0355118
200352078,05/23/2001,1761,10320,X,Employee Killed When Struck By Falling Debris,0453710
170839872,06/26/2008,1622,1636,&nbsp;,Employee Is Injured In Fall When Bridge Deck Falls,0950615
200571297,05/09/2008,4213,2328,X,Employee Is Caught In Mast Of Forklift Truck And Is Killed,0316700
201320538,10/03/2003,1791,40,X,Employee Electrocuted While Switching Plugs On Wire Welder,0317900
200921294,12/12/2003,8062,1,X,Physician Dies Of Hepatitis B,0355124
170838320,05/26/2004,7032,2153,&nbsp;,Employee Fractures Leg When Golf Cart Goes Out Of Control,0950615
200271161,03/04/2003,7997,19,X,Employee Drowns In Lake,0524500
200651602,07/27/2009,2752,48,X,"Employee Suffers Head Injury, Later Dies",0521100
202456133,12/21/2009,2671,2,&nbsp;,Employee Partially Amputates Finger In Sealing Machine,0950642
200801553,05/06/2006,3363,913,&nbsp;,Employee Amputates Fingers In Die-Casting Machine,0523300
202600359,04/21/2010,1791,275,&nbsp;,Employee Fractures Leg When Struck By Sling Cable,0950612
201798006,12/02/2003,2064,1497,&nbsp;,Employee Fingers Crushed In Candy Bar Wrapping Machine,0950644
201494804,07/21/2010,0761,1,&nbsp;,Farm Worker Experiences Dizziness Due To Existing Conditions,0950625
201772357,02/04/2004,1794,7560,X,Employee Killed When Pinned Between Excavator And Truck,0213900
201041308,02/20/2003,3482,1676,&nbsp;,Employee'S Finger Caught In Crimping Machine,0953220
200621688,09/30/2001,7999,938,X,Employee Run Over By Forklift,0454711
201361870,09/03/2002,1622,89,X,Employee Is Kiled In Fall From Scaffold Under Highway Bridge,0419400
200524890,02/12/2002,3643,2271,&nbsp;,Employee'S Finger Amputated In Machine,0751910
201113339,05/03/2001,3949,2500,&nbsp;,Employee Injured When Finger Amputated By Stamping Machine,0950643
201390051,04/09/2001,3544,10449,X,Employee Killed By Falling Ram Of Mechanical Power Press,0552652
303811194,04/09/2002,1761,460,&nbsp;,Employee Falls From Scaffold And Breaks His Back,0134000
201633526,04/29/2003,4911,186,&nbsp;,Employee On Utility Pole Is Shocked,1054112
201521507,10/06/2002,5812,6940,&nbsp;,Employee Injured While Cleaning Range Hood,0111500
200644326,11/03/2008,2421,125,X,Welder Dies In Propane Fire And Explosion,0627700
201925054,01/22/2010,2911,855,X,Employee Is Killed In Fall,0626700
170902621,01/13/2003,1422,8554,X,Employee Killed In Fall From Elevation,0950652
